
SUPERTREND TARAYICI  -  ATR 10 / Carpan 3 / Periyot 1D

=== AL SINYALI: 0 hisse ===
  (yok)

=== SAT SINYALI: 29 hisse ===
  HISSE   KAPANIS      DEG%    ST CIZGISI     ISLEM HACMI (TL)   TARIH
  SASA       2.42    -3.97         2.94       19.787.288.404   17.09.2026
  CEMZY     12.79    -9.99        16.74          228.826.862   17.09.2026
  GENKM      9.21    -9.97        11.79          168.442.408   17.09.2026
  RYSAS     23.80    -5.18        29.30          156.884.388   17.09.2026
  ATATP    265.00    -1.03       315.46          156.833.095   17.09.2026
  TNZTP     28.14    -2.97        33.23          127.151.012   17.09.2026
  GRTHO    178.50    -9.98       232.93          116.511.948   17.09.2026
  BJKAS      2.13    -9.75         2.83           92.088.927   17.09.2026
  TUCLK      3.64    -5.21         4.16           85.054.005   17.09.2026
  TARKM    465.00    -5.58       560.01           84.187.320   17.09.2026
  BINBN    150.80    -9.97       193.64           73.869.078   17.09.2026
  AHSGY     13.71    -9.98        17.69           57.553.607   17.09.2026
  KUVVA    157.60    -3.67       196.10           43.855.825   17.09.2026
  ERCB      39.88    -3.11        46.14           30.383.096   17.09.2026
  TERA     181.50    -9.97       210.18           29.096.084   17.09.2026
  OZYSR     10.85    -6.55        13.27           25.121.884   17.09.2026
  EYGYO      2.26    -5.44         2.75           19.325.020   17.09.2026
  DSTKF   2204.00    -9.97      2736.97           14.711.700   17.09.2026
  ATLAS      5.67   -10.00         7.55            9.579.936   17.09.2026
  TEHOL     38.74    -9.99        47.11            7.917.526   17.09.2026
  MEPET     17.85    -5.95        22.37            6.872.179   17.09.2026
  OZATD   4035.00    -9.98      4861.34            6.092.850   17.09.2026
  MZHLD      5.25    -2.42         6.13            5.430.395   17.09.2026
  ULAS      19.48    -3.56        22.75            5.312.547   17.09.2026
  IHYAY      1.17    -0.85         1.34            3.604.108   17.09.2026
  GATEG    242.40    -9.97       292.83            3.353.604   17.09.2026
  YKSLN      4.13    -9.83         5.04            2.164.347   17.09.2026
  TRHOL   3645.00   -10.00      4416.41            2.044.845   17.09.2026
  BRKSN      7.20    -2.70         8.07            1.683.180   17.09.2026

Not: 15 hisse yeterli gecmis veriye sahip degil (yeni islem gormeye baslamis): SARAE, VEYAS, METEN, INTET, MASFN, KPEKS, ALBTN, BKRGY, QUICK, SSAAT, NETGL, KARCL, CITAS, ISVEA, TKNKA

CSV yazildi: sonuclar\supertrend_2026-09-17.csv  (Excel ile acilabilir)
