sira;hisse;karar;skor;risk;potansiyel_%;osilator;temel;bilanco;haber;analist_hedef;haber_7gun
1;VBTYZ;GÜÇLÜ AL;100;düşük (20);2,2;4/6;notr;notr;yok;;1
2;AKFIS;GÜÇLÜ AL;99;orta (30);4,7;5/6;notr;notr;yok;;0
3;KLSYN;GÜÇLÜ AL;99;düşük (18);4,1;5/6;negatif;negatif;yok;;0
4;RYSAS;GÜÇLÜ AL;98;düşük (10);4,9;6/6;notr;negatif;yok;;4
5;DUNYH;GÜÇLÜ AL;97;düşük (10);6,2;5/6;pozitif;notr;yok;;0
6;TGSAS;GÜÇLÜ AL;97;orta (32);8,8;6/6;pozitif;negatif;yok;;0
7;TNZTP;GÜÇLÜ AL;97;orta (28);1,5;6/6;pozitif;notr;yok;44,00;0
8;EUPWR;GÜÇLÜ AL;97;düşük (20);2,9;6/6;notr;notr;yok;;0
9;ADGYO;GÜÇLÜ AL;97;düşük (0);8,8;4/6;negatif;negatif;yok;;0
10;VERUS;GÜÇLÜ AL;97;düşük (20);9,8;4/6;negatif;notr;yok;;0
11;HUNER;GÜÇLÜ AL;96;düşük (0);4,8;5/6;negatif;negatif;yok;;0
12;RYGYO;GÜÇLÜ AL;96;orta (35);2,3;6/6;pozitif;notr;yok;;0
13;TARKM;GÜÇLÜ AL;96;düşük (10);7,6;5/6;yok;negatif;yok;;0
14;GUBRF;GÜÇLÜ AL;96;düşük (8);7,2;6/6;notr;notr;yok;;2
15;MTRKS;GÜÇLÜ AL;96;düşük (0);12,5;4/6;pozitif;notr;yok;;0
16;KUVVA;GÜÇLÜ AL;95;düşük (20);3,4;4/6;negatif;negatif;yok;;0
17;HATSN;GÜÇLÜ AL;94;orta (35);0,0;5/6;negatif;negatif;yok;;0
18;SANFM;GÜÇLÜ AL;94;orta (35);0,5;6/6;notr;notr;yok;;0
19;INVES;GÜÇLÜ AL;93;düşük (10);6,1;3/6;notr;notr;yok;;0
20;BIOEN;GÜÇLÜ AL;93;düşük (18);2,1;5/6;negatif;notr;yok;22,00;0
21;ASTOR;GÜÇLÜ AL;93;orta (28);2,4;6/6;pozitif;pozitif;pozitif;423,63;7
22;NETAS;GÜÇLÜ AL;93;düşük (20);18,6;4/6;yok;yok;yok;;0
23;GESAN;GÜÇLÜ AL;93;düşük (20);4,6;5/6;notr;notr;yok;;0
24;TRMET;GÜÇLÜ AL;92;düşük (20);2,3;6/6;pozitif;notr;notr;168,00;0
25;INDES;GÜÇLÜ AL;92;düşük (10);4,3;5/6;notr;notr;notr;15,00;9
26;EGPRO;GÜÇLÜ AL;92;düşük (0);19,9;6/6;pozitif;notr;yok;;0
27;KRDMD;GÜÇLÜ AL;92;düşük (18);2,3;6/6;pozitif;pozitif;notr;50,70;0
28;EGGUB;GÜÇLÜ AL;92;düşük (18);4,5;5/6;pozitif;pozitif;yok;;0
29;KRDMA;GÜÇLÜ AL;91;orta (35);6,4;5/6;pozitif;pozitif;notr;50,70;0
30;MANAS;GÜÇLÜ AL;90;düşük (0);6,9;2/6;negatif;negatif;yok;;0
31;BINHO;GÜÇLÜ AL;90;düşük (0);10,6;5/6;notr;pozitif;yok;;0
32;BIMAS;GÜÇLÜ AL;90;düşük (10);1,7;5/6;notr;pozitif;pozitif;503,80;3
33;OFSYM;GÜÇLÜ AL;90;düşük (18);2,1;5/6;notr;notr;yok;69,30;0
34;DEVA;GÜÇLÜ AL;90;orta (36);2,1;6/6;notr;pozitif;yok;;0
35;PRDGS;GÜÇLÜ AL;89;düşük (10);4,4;6/6;pozitif;yok;yok;;0
36;AKSGY;GÜÇLÜ AL;89;düşük (8);2,3;4/6;pozitif;notr;notr;13,68;0
37;ASELS;GÜÇLÜ AL;89;düşük (8);2,2;5/6;pozitif;pozitif;notr;457,99;4
38;ARASE;GÜÇLÜ AL;89;düşük (0);6,4;4/6;pozitif;notr;yok;214,70;0
39;KRPLS;GÜÇLÜ AL;89;düşük (0);5,6;4/6;negatif;yok;yok;;0
40;SAYAS;GÜÇLÜ AL;89;düşük (8);9,0;4/6;pozitif;notr;yok;;0
41;GENIL;GÜÇLÜ AL;89;orta (32);5,9;4/6;notr;pozitif;yok;;0
42;BIGTK;GÜÇLÜ AL;89;düşük (16);4,3;6/6;notr;negatif;yok;;0
43;TRALT;GÜÇLÜ AL;88;düşük (0);6,5;5/6;pozitif;notr;notr;57,09;6
44;ARSAN;GÜÇLÜ AL;88;orta (28);3,1;5/6;notr;pozitif;yok;;0
45;DAGI;GÜÇLÜ AL;88;orta (28);6,8;5/6;negatif;pozitif;yok;;0
46;BJKAS;GÜÇLÜ AL;88;düşük (10);30,6;4/6;negatif;notr;yok;;1
47;ALKLC;GÜÇLÜ AL;88;orta (40);2,7;4/6;negatif;notr;yok;;0
48;DMLKT;GÜÇLÜ AL;88;orta (36);4,7;4/6;yok;yok;notr;33,43;3
49;TUPRS;GÜÇLÜ AL;88;orta (28);2,9;3/6;pozitif;pozitif;notr;357,35;4
50;TRENJ;GÜÇLÜ AL;87;orta (32);3,9;5/6;pozitif;pozitif;notr;218,70;0
51;ALTNY;GÜÇLÜ AL;87;düşük (0);6,7;5/6;negatif;yok;yok;;0
52;TSPOR;GÜÇLÜ AL;87;düşük (10);13,3;4/6;notr;notr;yok;;0
53;TRCAS;GÜÇLÜ AL;86;düşük (8);1,7;5/6;pozitif;negatif;yok;;0
54;DURKN;GÜÇLÜ AL;86;düşük (0);8,6;5/6;negatif;notr;yok;;0
55;EGEGY;GÜÇLÜ AL;86;düşük (0);2,8;6/6;notr;notr;yok;;0
