sira;hisse;karar;yildiz;skor;risk;guclu_yonler;dikkat;fiyat;stop_seviyesi;bugun_yeni;tarih
1;TGSAS;GÜÇLÜ AL;*****;99;orta (28);trend güçlü, momentum tam, hacim destekli, endeksten güçlü, haftalık yukarı, osilatör 6/6;aşırı uzamış (4.7× ATR), RSI aşırı alım;268,5;198,54;;27.08.2026
2;GESAN;GÜÇLÜ AL;*****;99;orta (28);trend güçlü, momentum tam, hacim destekli, endeksten güçlü, haftalık yukarı, osilatör 6/6;aşırı uzamış (3.5× ATR), RSI aşırı alım;93,6;83,74;;27.08.2026
3;MTRKS;GÜÇLÜ AL;*****;98;düşük (10);trend güçlü, momentum tam, hacim destekli, endeksten güçlü, haftalık yukarı, osilatör 5/6;aşırı uzamış (2.6× ATR);34,36;31,00;;27.08.2026
4;SANFM;GÜÇLÜ AL;*****;97;orta (28);trend güçlü, momentum tam, hacim destekli, endeksten güçlü, haftalık yukarı, osilatör 6/6;aşırı uzamış (4.0× ATR), RSI aşırı alım;11,16;9,85;;27.08.2026
5;ARSAN;GÜÇLÜ AL;*****;97;orta (28);trend güçlü, momentum tam, hacim destekli, endeksten güçlü, haftalık yukarı, osilatör 5/6;aşırı uzamış (3.8× ATR), RSI aşırı alım;4,25;3,69;;27.08.2026
6;AKFIS;GÜÇLÜ AL;*****;96;orta (38);trend güçlü, momentum tam, hacim destekli, endeksten güçlü, haftalık yukarı, osilatör 6/6;uyumsuzluk 1/5, aşırı uzamış (4.8× ATR), RSI aşırı alım;19,43;16,36;;27.08.2026
7;HATSN;GÜÇLÜ AL;*****;96;orta (35);trend güçlü, hacim destekli, endeksten güçlü, haftalık yukarı, osilatör 5/6;aşırı uzamış (5.1× ATR), RSI aşırı alım;79,4;65,09;;27.08.2026
8;DURKN;GÜÇLÜ AL;*****;95;düşük (0);trend güçlü, momentum tam, hacim destekli, endeksten güçlü, haftalık yukarı, osilatör 6/6;-;22,74;19,66;;27.08.2026
9;RYSAS;GÜÇLÜ AL;*****;95;düşük (0);trend güçlü, momentum tam, hacim destekli, endeksten güçlü, haftalık yukarı, osilatör 6/6;-;25,6;21,32;BUGUN;27.08.2026
10;ALTNY;GÜÇLÜ AL;*****;95;düşük (0);trend güçlü, momentum tam, hacim destekli, endeksten güçlü, haftalık yukarı, osilatör 5/6;-;18,56;16,42;;27.08.2026
11;NETAS;GÜÇLÜ AL;****;95;düşük (20);trend güçlü, momentum tam, endeksten güçlü, haftalık yukarı;aşırı uzamış (3.9× ATR);95,9;83,84;;27.08.2026
12;BIGTK;GÜÇLÜ AL;****;94;düşük (16);trend güçlü, momentum tam, hacim destekli, endeksten güçlü, haftalık yukarı, osilatör 6/6;aşırı uzamış (2.4× ATR), dağıtım 3 gün;381,5;296,10;;27.08.2026
13;EGPRO;GÜÇLÜ AL;****;94;orta (30);trend güçlü, momentum tam, endeksten güçlü, haftalık yukarı, osilatör 6/6;aşırı uzamış (2.8× ATR), RSI aşırı alım, doruk hacim;41,02;36,68;;27.08.2026
14;BJKAS;GÜÇLÜ AL;****;94;orta (28);trend güçlü, momentum tam, endeksten güçlü, haftalık yukarı;aşırı uzamış (3.7× ATR), momentum sönümü;2,72;2,36;;27.08.2026
15;BINBN;GÜÇLÜ AL;****;94;düşük (10);trend güçlü, hacim destekli, endeksten güçlü, haftalık yukarı;uyumsuzluk 1/5;186,6;165,95;;27.08.2026
