sira;hisse;karar;skor;risk;potansiyel_%;osilator
1;TGSAS;GÜÇLÜ AL;98;orta (28);6,5;6/6
2;RYSAS;GÜÇLÜ AL;98;düşük (10);5,5;6/6
3;VBTYZ;GÜÇLÜ AL;97;düşük (20);2,3;4/6
4;HUNER;GÜÇLÜ AL;97;düşük (0);4,3;5/6
5;AKFIS;GÜÇLÜ AL;96;orta (30);5,7;5/6
6;RYGYO;GÜÇLÜ AL;96;orta (35);1,9;6/6
7;MTRKS;GÜÇLÜ AL;95;düşük (10);9,0;4/6
8;BINHO;GÜÇLÜ AL;95;düşük (8);7,1;5/6
9;HATSN;GÜÇLÜ AL;95;orta (35);0,6;5/6
10;MANAS;GÜÇLÜ AL;95;düşük (8);6,5;3/6
11;NETAS;GÜÇLÜ AL;94;düşük (20);14,0;4/6
12;EGPRO;GÜÇLÜ AL;93;düşük (0);19,1;6/6
13;DUNYH;GÜÇLÜ AL;90;düşük (20);5,2;6/6
14;KLSYN;GÜÇLÜ AL;90;düşük (8);5,0;4/6
15;DEVA;GÜÇLÜ AL;90;orta (36);2,0;6/6
16;GUBRF;GÜÇLÜ AL;90;düşük (10);5,9;6/6
17;GESAN;GÜÇLÜ AL;89;düşük (20);4,2;5/6
18;INVES;GÜÇLÜ AL;89;düşük (20);3,2;5/6
19;BIMAS;GÜÇLÜ AL;89;düşük (10);1,6;5/6
20;EGGUB;GÜÇLÜ AL;89;düşük (10);5,4;5/6
21;TRMET;GÜÇLÜ AL;89;düşük (20);1,6;6/6
22;INDES;GÜÇLÜ AL;88;düşük (10);4,5;5/6
23;DAGI;GÜÇLÜ AL;88;orta (28);6,6;5/6
24;KRPLS;GÜÇLÜ AL;88;düşük (0);6,7;4/6
25;KRDMD;GÜÇLÜ AL;88;düşük (18);3,3;6/6
26;ASELS;GÜÇLÜ AL;88;düşük (8);2,0;5/6
27;ASTOR;GÜÇLÜ AL;88;düşük (18);3,9;6/6
28;EUPWR;GÜÇLÜ AL;88;düşük (20);5,7;6/6
29;SANFM;GÜÇLÜ AL;88;orta (28);3,3;6/6
30;VERUS;GÜÇLÜ AL;88;orta (28);7,2;4/6
31;DMLKT;GÜÇLÜ AL;88;orta (36);4,9;4/6
32;KCHOL;GÜÇLÜ AL;88;düşük (16);5,5;4/6
33;ARSAN;GÜÇLÜ AL;88;orta (28);1,6;5/6
34;SAYAS;GÜÇLÜ AL;88;düşük (0);8,2;4/6
35;TARKM;GÜÇLÜ AL;87;düşük (10);9,5;5/6
36;AKSGY;GÜÇLÜ AL;87;düşük (8);2,8;4/6
37;TNZTP;GÜÇLÜ AL;87;düşük (20);0,6;6/6
38;KLYPV;GÜÇLÜ AL;87;düşük (0);11,2;5/6
39;TRENJ;GÜÇLÜ AL;87;orta (32);2,7;6/6
40;TRALT;GÜÇLÜ AL;87;düşük (10);3,4;6/6
41;ADGYO;GÜÇLÜ AL;87;düşük (0);9,6;4/6
42;TRCAS;GÜÇLÜ AL;87;düşük (8);1,8;5/6
43;BIGTK;GÜÇLÜ AL;87;düşük (16);3,9;6/6
44;TSPOR;GÜÇLÜ AL;86;düşük (10);13,3;4/6
45;EGEGY;GÜÇLÜ AL;86;düşük (0);3,0;6/6
46;OZSUB;GÜÇLÜ AL;86;orta (38);2,2;5/6
47;ALTNY;GÜÇLÜ AL;86;düşük (10);5,4;5/6
48;KRDMA;GÜÇLÜ AL;86;orta (35);8,7;5/6
49;KORDS;GÜÇLÜ AL;86;düşük (0);13,0;3/6
50;ORGE;GÜÇLÜ AL;85;orta (32);10,6;6/6
51;CEMZY;GÜÇLÜ AL;85;düşük (0);13,5;4/6
52;ALARK;GÜÇLÜ AL;85;düşük (8);6,1;6/6
53;PASEU;GÜÇLÜ AL;85;orta (35);1,1;6/6
54;SOKM;GÜÇLÜ AL;85;düşük (10);5,6;4/6
55;DURKN;GÜÇLÜ AL;85;düşük (0);10,1;5/6
56;ALTIN;GÜÇLÜ AL;84;düşük (18);2,8;4/6
57;IZMDC;GÜÇLÜ AL;84;orta (32);6,6;5/6
58;BOBET;GÜÇLÜ AL;84;orta (22);4,6;6/6
59;OFSYM;GÜÇLÜ AL;84;düşük (8);4,7;4/6
60;AYGAZ;GÜÇLÜ AL;84;düşük (20);4,7;3/6
61;ATATP;GÜÇLÜ AL;84;düşük (18);16,6;4/6
62;HKTM;GÜÇLÜ AL;84;orta (24);9,7;4/6
63;TUPRS;GÜÇLÜ AL;84;düşük (20);4,9;3/6
64;KRGYO;GÜÇLÜ AL;84;orta (28);2,5;6/6
65;BJKAS;GÜÇLÜ AL;84;düşük (10);27,5;4/6
66;CATES;GÜÇLÜ AL;83;orta (35);2,3;4/6
67;TBORG;GÜÇLÜ AL;83;düşük (18);6,7;4/6
68;SELEC;GÜÇLÜ AL;83;orta (35);0,8;5/6
69;TKFEN;GÜÇLÜ AL;83;düşük (20);9,6;3/6
70;GLRMK;GÜÇLÜ AL;83;düşük (8);2,4;6/6
71;ETYAT;GÜÇLÜ AL;83;düşük (0);7,1;4/6
72;IEYHO;GÜÇLÜ AL;82;orta (35);0,2;5/6
73;ARDYZ;GÜÇLÜ AL;82;düşük (20);9,0;3/6
74;MOGAN;GÜÇLÜ AL;82;orta (22);7,8;3/6
75;DOCO;GÜÇLÜ AL;82;düşük (0);6,1;5/6
76;GSDDE;GÜÇLÜ AL;82;düşük (0);14,6;4/6
77;SDTTR;GÜÇLÜ AL;81;düşük (0);9,0;5/6
78;MRGYO;GÜÇLÜ AL;81;düşük (18);7,5;6/6
79;KUVVA;GÜÇLÜ AL;81;düşük (10);11,7;3/6
80;CELHA;GÜÇLÜ AL;81;düşük (10);10,2;3/6
81;KRONT;GÜÇLÜ AL;81;düşük (10);12,1;3/6
82;ADEL;GÜÇLÜ AL;81;düşük (10);10,0;4/6
83;ARASE;GÜÇLÜ AL;81;düşük (0);8,0;4/6
84;OYAKC;GÜÇLÜ AL;81;düşük (18);0,3;5/6
85;PRDGS;GÜÇLÜ AL;80;düşük (10);8,9;4/6
86;TCKRC;GÜÇLÜ AL;80;düşük (0);8,8;2/6
87;BLUME;GÜÇLÜ AL;80;düşük (10);9,1;4/6
88;EUKYO;GÜÇLÜ AL;80;düşük (0);7,9;3/6
89;POLHO;GÜÇLÜ AL;79;düşük (10);5,3;2/6
90;BINBN;GÜÇLÜ AL;79;düşük (10);7,9;4/6
91;ENDAE;GÜÇLÜ AL;78;düşük (0);27,3;3/6
92;MPARK;GÜÇLÜ AL;78;düşük (0);5,9;3/6
93;RUBNS;GÜÇLÜ AL;78;düşük (0);17,9;3/6
94;VANGD;GÜÇLÜ AL;78;düşük (0);8,1;4/6
95;HURGZ;GÜÇLÜ AL;77;düşük (0);13,6;2/6
96;GIPTA;GÜÇLÜ AL;76;düşük (20);10,4;5/6
97;HALKB;GÜÇLÜ AL;76;orta (28);13,2;6/6
98;PCILT;GÜÇLÜ AL;76;düşük (0);11,0;5/6
99;DOHOL;AL;91;düşük (0);2,6;5/6
100;ERSU;AL;89;düşük (0);14,6;4/6
101;VAKBN;AL;88;düşük (10);3,9;5/6
102;AHGAZ;AL;87;düşük (20);6,4;5/6
103;KTLEV;AL;85;orta (28);0,9;5/6
104;SKYMD;AL;84;düşük (10);7,5;3/6
105;METRO;AL;83;düşük (0);12,6;2/6
106;CVKMD;AL;81;düşük (0);10,9;2/6
107;FRIGO;AL;78;orta (38);19,2;5/6
108;ETILR;AL;77;düşük (6);15,7;1/6
109;GLRYH;AL;77;düşük (0);3,8;6/6
110;MNDRS;AL;77;düşük (10);2,8;6/6
111;RNPOL;AL;76;düşük (8);15,4;4/6
112;AKMGY;AL;75;düşük (6);3,9;3/6
113;KRDMB;AL;74;düşük (0);9,3;5/6
114;ALKLC;AL;74;orta (30);4,2;3/6
115;ARMGD;AL;74;orta (22);10,6;2/6
116;ISBTR;AL;74;düşük (10);21,3;4/6
117;GSRAY;AL;74;düşük (0);5,4;4/6
118;PAGYO;AL;73;düşük (0);14,0;3/6
119;AKCNS;AL;73;düşük (10);4,1;4/6
