sira;hisse;karar;skor;risk;potansiyel_%;osilator;temel;bilanco;haber;analist_hedef;haber_7gun
1;CELHA;GÜÇLÜ AL;99;düşük (10);5,9;5/6;negatif;notr;yok;;0
2;AHGAZ;GÜÇLÜ AL;97;düşük (20);8,8;4/6;pozitif;notr;notr;65,00;3
3;ENERY;GÜÇLÜ AL;96;orta (32);11,1;5/6;pozitif;notr;notr;20,00;3
4;KRGYO;GÜÇLÜ AL;96;orta (28);2,7;5/6;negatif;negatif;yok;;0
5;TKFEN;GÜÇLÜ AL;95;düşük (20);4,5;5/6;negatif;notr;notr;160,00;4
6;BMSTL;GÜÇLÜ AL;94;orta (22);7,5;6/6;negatif;pozitif;yok;;0
7;ISDMR;GÜÇLÜ AL;93;düşük (0);11,3;4/6;pozitif;notr;notr;68,20;0
8;BAHKM;GÜÇLÜ AL;91;düşük (18);24,8;4/6;negatif;notr;yok;;0
9;CEOEM;GÜÇLÜ AL;89;düşük (10);8,7;5/6;pozitif;pozitif;yok;;0
10;SKYMD;GÜÇLÜ AL;87;orta (24);7,2;4/6;negatif;negatif;yok;;3
11;HURGZ;GÜÇLÜ AL;87;düşük (0);15,2;4/6;negatif;negatif;yok;;0
12;EUKYO;GÜÇLÜ AL;87;düşük (0);9,5;5/6;negatif;pozitif;yok;;0
13;YKSLN;GÜÇLÜ AL;87;orta (28);12,7;5/6;negatif;notr;yok;;1
14;MARTI;GÜÇLÜ AL;86;orta (28);21,9;5/6;negatif;notr;yok;;0
15;TRHOL;GÜÇLÜ AL;86;orta (36);11,2;4/6;pozitif;notr;yok;;2
16;TRCAS;GÜÇLÜ AL;85;düşük (0);7,4;1/6;pozitif;negatif;yok;;0
17;BIMAS;GÜÇLÜ AL;85;düşük (0);7,9;0/6;notr;pozitif;pozitif;501,75;3
18;MRGYO;GÜÇLÜ AL;84;düşük (20);15,5;5/6;pozitif;notr;yok;;1
19;DMLKT;GÜÇLÜ AL;83;düşük (16);4,7;2/6;yok;yok;pozitif;33,43;2
20;PATEK;GÜÇLÜ AL;82;düşük (0);18,9;5/6;negatif;notr;yok;;0
21;FLAP;GÜÇLÜ AL;81;düşük (0);19,7;4/6;notr;notr;yok;;0
22;HALKB;GÜÇLÜ AL;80;düşük (10);16,2;3/6;notr;notr;notr;47,34;9
23;HUNER;GÜÇLÜ AL;80;orta (22);6,6;3/6;negatif;negatif;yok;;1
24;BJKAS;GÜÇLÜ AL;79;düşük (0);35,6;4/6;negatif;notr;yok;;1
25;DEVA;GÜÇLÜ AL;79;düşük (0);16,0;2/6;notr;pozitif;yok;;0
26;KRPLS;GÜÇLÜ AL;79;düşük (0);29,6;4/6;negatif;yok;yok;;0
27;BOSSA;AL;83;düşük (0);8,3;5/6;notr;negatif;yok;;0
28;ETILR;AL;82;düşük (0);16,3;2/6;negatif;notr;yok;;0
29;EGEEN;AL;81;düşük (12);13,4;5/6;negatif;notr;yok;;0
30;KONYA;AL;77;düşük (10);10,2;4/6;pozitif;yok;yok;;0
31;TDGYO;AL;76;düşük (12);22,1;5/6;pozitif;pozitif;yok;;0
32;SOKM;AL;75;orta (22);10,0;0/6;negatif;notr;pozitif;85,11;1
33;DSTKF;AL;74;düşük (0);61,8;4/6;notr;pozitif;yok;;0
34;TERA;AL;74;düşük (0);12,6;5/6;notr;pozitif;yok;;10
35;KGYO;AL;73;düşük (10);17,8;3/6;negatif;notr;yok;;0
36;NETAS;AL;70;düşük (0);17,2;3/6;yok;yok;yok;;0
37;ECOGR;AL;69;düşük (0);23,5;4/6;notr;notr;yok;;0
38;RYSAS;AL;68;düşük (10);21,7;0/6;notr;negatif;yok;;0
39;SASA;AL;63;düşük (0);21,4;3/6;negatif;notr;yok;;1
40;CANTE;AL;62;düşük (8);10,4;3/6;notr;notr;yok;;3
41;ZOREN;AL;62;düşük (8);22,4;6/6;negatif;notr;notr;3,58;2
42;TUPRS;İZLE;90;yüksek (42);5,3;3/6;pozitif;pozitif;pozitif;366,18;4
43;AGHOL;İZLE;83;düşük (0);8,7;3/6;notr;notr;pozitif;50,40;0
44;OZATD;İZLE;79;yüksek (42);14,1;4/6;negatif;negatif;yok;;0
45;GMTAS;İZLE;79;düşük (0);20,5;1/6;negatif;notr;yok;;0
46;AYGAZ;İZLE;73;orta (40);10,2;1/6;pozitif;pozitif;pozitif;337,67;1
47;ZRGYO;İZLE;73;orta (40);7,3;3/6;pozitif;notr;yok;;0
48;TEHOL;İZLE;72;düşük (10);22,0;2/6;pozitif;notr;yok;;2
49;TNZTP;İZLE;70;orta (38);20,2;1/6;pozitif;notr;notr;44,00;0
50;GSDDE;İZLE;70;düşük (0);23,7;3/6;pozitif;yok;yok;;0
51;CEMZY;İZLE;69;düşük (0);31,1;3/6;negatif;negatif;yok;;0
52;OZRDN;İZLE;66;düşük (0);25,4;3/6;negatif;notr;yok;;0
53;TRENJ;İZLE;62;yüksek (50);14,1;0/6;pozitif;pozitif;notr;218,70;0
54;TURGG;İZLE;62;orta (32);16,5;1/6;pozitif;yok;yok;;0
55;TARKM;İZLE;62;düşük (0);18,6;1/6;yok;negatif;yok;;0
56;ORGE;İZLE;62;orta (32);20,0;0/6;pozitif;notr;pozitif;112,00;4
57;SANKO;İZLE;61;düşük (0);19,1;4/6;notr;notr;yok;;0
58;AVPGY;İZLE;60;düşük (0);14,7;2/6;pozitif;notr;pozitif;95,17;0
59;AKSGY;İZLE;60;düşük (10);7,6;0/6;pozitif;notr;pozitif;13,68;0
60;ATATP;İZLE;60;orta (28);37,6;2/6;pozitif;pozitif;notr;472,00;0
61;TUCLK;İZLE;59;düşük (6);12,8;3/6;negatif;notr;yok;;0
62;MZHLD;İZLE;58;düşük (0);19,7;4/6;yok;yok;yok;;0
63;KUVVA;İZLE;57;orta (38);22,2;0/6;negatif;notr;yok;;0
64;EPLAS;İZLE;57;düşük (10);29,0;4/6;notr;pozitif;yok;;0
65;DZGYO;İZLE;57;düşük (0);23,0;3/6;pozitif;notr;yok;;0
66;OZSUB;İZLE;57;düşük (16);18,7;0/6;notr;notr;yok;;0
67;ENJSA;İZLE;56;düşük (16);11,5;0/6;pozitif;notr;notr;158,36;0
68;UNLU;İZLE;55;düşük (6);32,2;5/6;negatif;notr;yok;;1
69;MAALT;İZLE;53;orta (40);33,6;3/6;negatif;notr;yok;;0
70;VESTL;İZLE;53;düşük (0);27,7;2/6;negatif;notr;notr;33,17;2
71;MPARK;İZLE;53;düşük (0);8,3;1/6;notr;notr;pozitif;676,75;0
72;DENGE;İZLE;52;orta (22);16,7;2/6;notr;notr;yok;;0
73;ISBTR;İZLE;51;orta (32);31,2;0/6;notr;negatif;pozitif;;11
74;OFSYM;İZLE;51;düşük (20);18,1;0/6;notr;notr;notr;69,30;0
75;BMSCH;İZLE;51;düşük (12);46,2;4/6;negatif;notr;yok;;0
76;ATLAS;İZLE;50;düşük (0);35,7;4/6;notr;negatif;yok;;0
