hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
EDIP;GUCLU AL;;97,0;32,8;30,0;34,1;10;1;guclu trend;24,5;63,8;54,8;yukari;guclu;yukselis;yukari;2,30;1,69;1;40,4;0,35;242453490;32,91;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;01.09.2026
KCHOL;izle;;92,6;35,0;30,0;27,6;50;2;guclu trend;30,3;62,7;68,9;yukari;guclu;yukselis;yukari;0,88;2,37;4;218,3;1,58;6153273401;202,86;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;AL;NOTR;5;01.09.2026
KRDMA;GUCLU AL;;92,0;35,0;22,9;34,0;35;0;guclu trend;43,7;86,1;95,1;yukari;guclu;yukselis;yukari;1,31;6,35;0;67,7;1,58;947741101;58,52;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;01.09.2026
RYSAS;GUCLU AL;;91,4;35,0;28,6;27,7;28;0;guclu trend;32,0;74,7;85,1;yukari;guclu;yukselis;yukari;0,86;4,36;1;29,8;3,47;399166083;24,82;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;01.09.2026
INDES;GUCLU AL;;90,9;34,4;30,0;26,4;18;0;guclu trend;28,6;65,9;88,3;yukari;guclu;yukselis;yukari;0,79;2,28;0;11,9;0,25;68886780;10,83;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;01.09.2026
AGESA;izle;;90,2;33,2;30,0;27,0;58;4;guclu trend;25,3;70,5;72,4;yukari;guclu;yukselis;yukari;0,82;2,54;1;263,25;0,77;58953521;239,61;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;SAT;NOTR;5;01.09.2026
OFSYM;GUCLU AL;;90,0;35,0;30,0;25,0;18;0;guclu trend;45,4;66,9;63,3;yukari;guclu;yukselis;yukari;0,40;2,74;0;70,05;4,47;93831625;56,83;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;01.09.2026
VBTYZ;GUCLU AL;;90,0;35,0;30,0;25,0;20;0;guclu trend;34,3;64,0;77,2;yukari;guclu;yukselis;yukari;0,38;3,17;0;38,78;2,76;47300199;32,80;AL;POZITIF;AL;POZITIF;AZALIYOR;SAT;SAT;NOTR;4;01.09.2026
AYGAZ;izle;;90,0;35,0;30,0;25,0;50;2;guclu trend;44,5;69,2;80,2;yukari;guclu;yukselis;yukari;0,66;4,12;1;336;0,30;315582960;304,27;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;01.09.2026
KUVVA;GUCLU AL;;89,8;35,0;30,0;24,8;28;1;guclu trend;35,5;69,8;85,2;yukari;guclu;yukselis;yukari;0,61;2,84;2;193,2;2,77;24638989;163,41;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;01.09.2026
