hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
VAKBN;GUCLU AL;;100,0;35,0;30,0;35,0;26;0;guclu trend;30,2;68,7;72,7;yukari;guclu;yukselis;yukari;3,39;3,49;3;38,08;9,99;9841626346;31,66;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;11.09.2026
KLSYN;GUCLU AL;;100,0;35,0;30,0;35,0;10;0;guclu trend;31,1;69,7;83,2;yukari;guclu;yukselis;yukari;1,48;2,75;0;17;4,17;85630530;14,43;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;11.09.2026
AHGAZ;GUCLU AL;;99,8;35,0;29,8;35,0;36;0;guclu trend;33,1;72,4;87,8;yukari;guclu;yukselis;yukari;1,50;4,10;0;40,54;3,31;338391515;36,38;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;11.09.2026
DEVA;GUCLU AL;;98,3;35,0;30,0;33,3;28;0;guclu trend;48,3;72,0;91,5;yukari;guclu;yukselis;yukari;1,59;4,60;2;102,6;-2,38;200034500;91,73;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;11.09.2026
FLAP;GUCLU AL;;97,7;35,0;28,6;34,2;18;0;guclu trend;37,6;74,9;77,7;yukari;guclu;yukselis;yukari;1,92;2,82;0;13,19;9,46;30577137;10,19;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;11.09.2026
BAHKM;izle;;97,3;35,0;29,8;32,5;46;1;guclu trend;44,9;72,4;80,8;yukari;guclu;yukselis;yukari;1,15;3,79;2;183,7;10,00;367967449;138,64;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;NOTR;4;11.09.2026
CELHA;GUCLU AL;;97,1;34,0;30,0;33,1;10;0;guclu trend;27,5;65,3;50,6;yukari;guclu;yukselis;yukari;1,18;2,52;2;27,4;2,62;83116996;22,84;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;11.09.2026
HURGZ;GUCLU AL;;96,0;31,6;30,0;34,4;0;0;guclu trend;21,3;63,8;63,4;yukari;guclu;yukselis;yukari;1,33;2,05;2;8,24;3,26;96925900;6,97;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;11.09.2026
HUNER;GUCLU AL;;95,6;32,7;29,3;33,5;36;2;guclu trend;24,1;57,5;64,5;yukari;guclu;yukselis;yukari;1,26;1,22;3;3,99;-1,72;279129308;3,50;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;11.09.2026
ENERY;GUCLU AL;;94,8;35,0;24,8;35,0;35;0;guclu trend;44,4;82,5;94,9;yukari;guclu;yukselis;yukari;1,86;5,84;0;12,18;6,19;1061851937;10,54;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;11.09.2026
