sinyal;hisse;kapanis;degisim%;st_cizgisi;islem_hacmi_tl;tarih
AL;ENKAI;89,2;2,00;80,56;1538477535;28.08.2026
AL;CANTE;1,33;9,92;1,15;1162749980;28.08.2026
AL;IZFAS;64,95;2,12;52,44;397581618;28.08.2026
AL;MARTI;1,56;6,85;1,28;379393097;28.08.2026
AL;MAKTK;10,53;1,15;9,45;129363409;28.08.2026
AL;ARTMS;40,76;3,03;35,62;44593111;28.08.2026
AL;MAALT;1100;10,00;954,44;37170100;28.08.2026
SAT;PLTUR;20,92;-0,85;23,82;37346217;28.08.2026
SAT;DSTKF;1965;-9,99;2370,64;25383870;28.08.2026
SAT;SEKUR;9,89;-2,08;11,78;14442614;28.08.2026
