sinyal;hisse;kapanis;degisim%;st_cizgisi;islem_hacmi_tl;tarih
AL;KARSN;10,28;4,05;9,16;496310083;01.09.2026
AL;ARTMS;42,3;5,17;36,10;82233273;01.09.2026
SAT;TAVHL;260,25;-1,79;291,96;1756217749;01.09.2026
SAT;GESAN;82,9;-9,99;100,18;1104427706;01.09.2026
SAT;ATATR;13,24;-7,61;16,31;682564699;01.09.2026
SAT;KBORU;19,46;-9,99;24,81;578907678;01.09.2026
SAT;EUPWR;92,35;-9,99;112,06;464979110;01.09.2026
SAT;NETCD;118,8;-2,06;141,02;350847169;01.09.2026
SAT;GIPTA;76,4;-9,96;100,20;327432828;01.09.2026
SAT;DUNYH;138,1;-4,76;168,50;308866450;01.09.2026
SAT;EMPAE;63;-3,96;81,67;286042176;01.09.2026
SAT;MOGAN;17,18;-9,96;21,99;276999926;01.09.2026
SAT;PEKGY;14,18;-9,97;16,98;230820282;01.09.2026
SAT;KOCMT;4,18;-9,91;5,67;216519360;01.09.2026
SAT;BINHO;9,58;-1,64;11,61;202130097;01.09.2026
SAT;IZMDC;11,37;-9,47;14,43;149167214;01.09.2026
SAT;EGEGY;26,64;-10,00;32,95;138367787;01.09.2026
SAT;FORTE;111,8;-2,02;137,17;124960649;01.09.2026
SAT;GEREL;36,98;-3,45;44,39;97035631;01.09.2026
SAT;BLCYT;1,98;-90,89;11,32;72433740;01.09.2026
SAT;SELVA;1,61;-3,01;1,83;45375490;01.09.2026
SAT;KLKIM;26;-2,55;29,27;35145916;01.09.2026
SAT;BEYAZ;22,36;-2,87;25,07;34982779;01.09.2026
SAT;KRONT;23,3;-6,65;28,86;28321313;01.09.2026
SAT;BAYRK;4,24;-0,24;4,79;18457437;01.09.2026
SAT;MAKIM;15,18;-3,00;17,50;16091088;01.09.2026
SAT;SKYLP;217,8;-4,47;269,70;15482749;01.09.2026
SAT;BANVT;151,8;-0,78;164,34;12448207;01.09.2026
SAT;YAYLA;20,8;-1,05;24,43;12246582;01.09.2026
SAT;GRNYO;12,7;-4,37;14,89;4385424;01.09.2026
SAT;EUYO;4,63;-2,53;5,38;2370477;01.09.2026
SAT;EMNIS;151;-1,95;161,71;901621;01.09.2026
